,Overall,Bib,Name,Time
294,295,30770,Phillip Kurchack,03:55:09
295,295,30393,Roderick Scott,03:55:09
296,297,30151,Jeff Furst,03:55:16
297,298,30762,Cristy Meining,03:55:29
298,299,30358,John Flint,03:55:30
299,300,31202,Jay Earich,03:55:31
300,301,30588,Kat Sattele,03:55:38
301,302,31306,Casey Gallaher,03:55:39
302,303,30438,Tracey Jackson,03:55:56
303,304,30691,Koon Wan,03:55:57
304,305,30177,John Jacobson,03:56:05
305,306,30636,Gregory Flanagan,03:56:10
306,307,30818,Jonathan Radwan,03:56:12
307,308,30742,Robert Villwock,03:56:15
308,308,31496,Tyler Woitkowski,03:56:15
309,308,31365,Nicholas Lazzara,03:56:15
310,311,30773,Mark Schmidt,03:56:24
311,312,31991,David O'Rourke,03:56:31
312,313,30781,Adam Lord,03:56:35
313,313,31122,Jerry Miller,03:56:35
314,315,30673,Tony Spake,03:56:44
315,316,30550,Jean Pierre Rostren,03:56:45
316,317,31014,Paul Hickey,03:56:47
317,318,30761,Magdaliene Deline,03:56:51
318,319,31156,Peter Schichtel,03:56:52
319,320,30684,Matthew Milam,03:56:57
320,321,30194,Ryan Davis,03:56:58
321,322,30898,Austin Brunhoeber,03:57:14
322,323,31507,Jessica O'Mahoney,03:57:15
323,324,30178,Matthew Pohorilak,03:57:19
324,325,31336,Brittney Duffy,03:57:25
325,325,30705,Greg Dunn,03:57:25
326,327,30517,Stefani Briere,03:57:32
327,327,33482,April Allen,03:57:32
328,329,30130,Sullivan Edwards,03:57:34
329,330,30225,Laura Romaine,03:57:36
330,331,30432,Megan Conroy,03:57:41
331,332,30312,Steven Meyer,03:57:50
332,333,30447,Andrea Starinsky,03:57:53
333,334,31158,Stephanie Gogots,03:57:57
334,335,31495,Kevin Murphy,03:57:59
335,336,31570,Hampton Lott,03:58:01
336,337,31518,Dorothy Butler,03:58:02
337,338,31735,Irene Hamm,03:58:05
338,339,31296,Ben Bass,03:58:09
339,340,30774,Christopher Wray,03:58:11
340,341,30448,Matthew Sebens,03:58:14
341,341,30386,Erin Zerth,03:58:14
342,343,31091,Aric Thorne,03:58:22
343,344,30800,Joshua Nelkin,03:58:25
344,345,31604,Landon Stubblefield,03:58:31
345,346,30396,Jamie Saunders,03:58:32
346,347,30640,Stacey Malcolmson,03:58:36
347,348,30969,Jered Haynor,03:58:38
348,349,33681,Barrett Holder,03:58:51
349,350,30598,Taylor Romine,03:58:54
350,351,30483,Steven Hubbard,03:58:59
351,352,31274,Spencer Blakely,03:59:01
352,353,31269,David Salge,03:59:04
353,354,31259,Sara Casciano,03:59:13
354,355,31033,Miriam Gutman,03:59:19
355,356,30771,Kathleen Fusco,03:59:22
356,357,31850,Andrea Perreault,03:59:27
357,358,30759,Kristin Gamble,03:59:32
358,359,30612,Greg Beckerle,03:59:33
359,360,30628,Anthony Steele,03:59:37
360,361,30308,Amy Eddy,03:59:39
361,362,31936,Carl Adams,03:59:44
362,363,31307,Sam Hughes,03:59:53
363,364,30694,Brett Fetter,03:59:59
364,364,31660,Tyler Dixon,03:59:59
365,366,32444,Stormy Speaks,04:00:02
366,367,30486,Dave Taylor,04:00:06
367,368,31289,Koji Kawabata,04:00:14
368,369,30749,Tony Wolniakowski,04:00:15
369,370,30479,Andy Nye,04:00:16
370,371,31453,Tanya Ratcliff,04:00:17
371,371,31454,Jordan Diegmueller,04:00:17
372,373,31837,Jyssica Miller,04:00:21
373,374,30511,Gustavo Mendez,04:00:25
374,375,30601,Justin Allen,04:00:27
375,376,30823,Brandi Nowicki,04:00:39
376,377,30715,Kenny Johnson,04:00:44
377,378,31929,Peter Davis,04:00:47
378,379,30491,Jared Kincaid,04:01:00
379,380,31548,Gregory Pape,04:01:19
380,381,30890,Fernando Marquez,04:01:20
381,382,30744,Joseph White,04:01:24
382,383,31027,John Brechbill,04:01:28
383,383,30307,Jake Cronin,04:01:28
384,385,30617,Greg Walker,04:01:41
385,386,33522,Kiyoka Panichvatana,04:01:43
386,386,30836,Tamara Kasper,04:01:43
387,388,30337,Alejandro Burgos,04:01:49
388,389,30627,Yanni Lambropoulos,04:02:00
389,390,32107,Alexander Guerrero,04:02:05
390,391,31151,Danielle Cosco,04:02:10
391,392,30594,Tara Bailes,04:02:21
392,393,31054,Megan Cohan,04:02:22
393,394,31253,Clayton Phillips,04:02:24
394,395,30831,Allison Taylor,04:02:26
395,396,31333,Matt Walberg,04:02:29
396,397,30470,Laura Dowek,04:02:33
397,398,30740,Matias Weikert,04:02:37
398,399,30727,Chris Fox,04:02:49
399,399,33515,Jeffrey Bliss,04:02:49
400,399,31138,Rosie Arellano,04:02:49
401,402,30769,Maria Dean,04:03:17
402,403,32113,Jennifer Gehrin,04:03:22
403,404,30807,Trisha Armstrong,04:03:23
404,405,30318,Robbie Berger,04:03:24
405,406,31359,Nick Marshall,04:03:26
406,407,30341,Chris Riser,04:03:27
407,408,30232,William Horn,04:03:30
408,409,31589,Gary Shelnutt,04:03:38
409,410,30767,Brendan Knoblauch,04:03:42
410,411,30560,Paul Bradbury,04:03:45
411,412,30846,Gary Nichol,04:03:56
412,413,30296,Chris Schuer,04:03:58
413,413,31110,Katie Johnson,04:03:58
414,415,30798,Clee Malfitano,04:04:03
415,416,30674,Gisella Pere,04:04:12
416,417,31120,Jason Cook,04:04:17
417,418,30146,Chad Carpenter,04:04:19
418,419,33600,Elizabeth Messineo,04:04:28
419,420,30711,Aimee Heckman,04:04:34
420,421,30119,Patricio Hidalgo,04:04:37
421,422,30397,Dean Martin,04:04:54
422,423,31560,Haley Kesterson,04:05:02
423,424,31106,Jeffrey Johnson,04:05:09
424,425,33510,Tyler Younghouse,04:05:21
425,425,31352,Brady Watson,04:05:21
426,427,31464,Philip Leisy,04:05:36
427,427,31943,Richard Vestal,04:05:36
428,429,30977,Robert Allen,04:05:49
429,430,31434,Natascha Leitner,04:05:53
430,431,31999,Jeremy Johnson,04:05:54
431,432,31353,Brian Donaldson,04:06:00
432,432,31876,Arthi Krishnan,04:06:00
433,434,31143,Brad Andis,04:06:04
434,435,31218,John Winborn,04:06:12
435,436,31373,Darcie Brodsky,04:06:41
436,437,31562,Meggie Komar,04:06:49
437,438,31423,Anthony Rosso,04:06:53
438,439,30104,Kelsey Otten,04:07:02
439,440,30956,Mandy Grimshaw,04:07:05
440,441,31389,Firmo Demelo,04:07:06
441,441,30500,Erin Willis,04:07:06
442,443,30184,Taylor Christiansen,04:07:12
443,444,33494,Michael Crosby,04:07:13
444,445,30900,Amanda Binkley,04:07:22
445,446,30476,Katarina Von Lehmden,04:07:32
446,447,30581,Lorelei Raymundo,04:07:33
447,448,30504,Kyle Moritz,04:07:34
448,449,31297,Terese Grondin,04:07:35
449,450,31169,Mark Reyes,04:07:38
450,451,31438,Renee Gould,04:07:52
451,452,31420,Sean Baum,04:08:03
452,453,31262,Chad Appleton,04:08:04
453,454,33669,Jessie Lynch,04:08:09
454,455,31300,Megan Jepson,04:08:10
455,456,31584,Wendy Dunevant,04:08:18
456,457,33645,Stefanie Garrity,04:08:24
457,458,30702,Grant Donath,04:08:36
458,459,30609,Hannah Mincey,04:08:37
459,460,31413,Rachel Hartman,04:08:52
460,461,30508,Tsutomu Takeda,04:09:16
461,462,32109,Jessica Salgado,04:09:18
462,463,31220,Alexander Shinar,04:09:23
463,464,30523,Elena Harmon,04:09:25
464,465,30757,Cody Seely,04:09:32
465,466,30971,Lindsay Harroff,04:10:01
466,467,30733,Trent Fordham,04:10:02
467,467,31940,Alexander Jackson,04:10:02
468,469,33502,Timothy Lewendon,04:10:03
469,470,30652,Phillip Durity,04:10:07
470,470,31920,Sean Courser,04:10:07
471,470,30344,Priya Pappu,04:10:07
472,473,31140,Kelsey Guglielmi,04:10:08
473,474,30689,Micah Clemons,04:10:11
474,475,31064,Gilbert Quioan,04:10:13
475,475,31175,Alaina Buchwald,04:10:13
476,477,33504,Allison Morris,04:10:22
477,478,30718,Jesse Riley,04:10:23
478,479,31217,Steven Sinclair,04:10:26
479,480,33350,Christopher Romanoski,04:10:27
480,481,30743,Jennifer Gurski,04:10:33
481,482,33490,Jason Haas,04:10:37
482,483,30748,Hoa Schober,04:10:48
483,483,30751,Michael Pangallo,04:10:48
484,485,32111,Monica Marcela Canas,04:10:50
485,486,30909,Araminta Ray,04:10:52
486,486,33446,Mackenzie Dysinger,04:10:52
487,488,30407,Wes Denney,04:10:54
488,488,30481,Cayla Pusey,04:10:54
489,490,33684,Matthew Farrell,04:10:58
490,491,32046,Adam Goodman,04:11:03
491,492,30332,Coral Wiebe,04:11:05
492,493,30257,Soren Wakelin,04:11:06
493,494,30955,Brian Suh,04:11:07
494,495,30231,Larry Brittan,04:11:08
495,496,33535,Skylar Dejesus,04:11:10
496,496,31461,Addison Britton,04:11:10
497,498,30566,Alyssa Morrison,04:11:12
498,499,30526,Julia Norton,04:11:16
499,500,31448,Nikki Calkins,04:11:23
500,500,33706,Aine Corridon,04:11:23
501,502,31078,Ryan Monteleone,04:11:33
502,502,31649,Abbey Head,04:11:33
503,504,33560,Ben Rosa,04:11:39
504,505,31409,Michelle Pernat,04:11:40
505,505,31547,Brian Furao,04:11:40
506,507,30496,Scott Siersma,04:11:41
507,508,30814,Tim Petro,04:11:42
508,509,30335,Justin Bryan,04:11:49
509,510,30692,Mary Costello,04:11:59
510,510,30778,W. Daniel Costello Jr.,04:11:59
511,512,32103,Adam Hodges,04:12:01
512,513,33478,J.C. Anderson,04:12:02
513,514,30275,David Cornell,04:12:05
514,515,32066,Ariana Vaisey,04:12:07
515,516,32232,Sarah Graves,04:12:18
516,517,31270,John Edwards,04:12:22
517,518,30330,Brian Tober,04:12:24
518,519,31210,Mathias Mortenson,04:12:25
519,520,31292,Jason Alaniz,04:12:27
520,521,31988,Rebekah Good,04:12:34
521,522,31044,Tim Mittan,04:12:49
522,523,33481,Hannah Burnette,04:12:50
523,524,33143,Nathan Alley,04:12:52
524,525,30169,Eric Lozick,04:12:53
525,526,30263,Ahmad Alammuri,04:12:54
526,527,30574,Sherry Peterson,04:12:55
527,528,33459,Israel Sandoval,04:12:57
528,529,30543,Nicole Piquero,04:13:03
529,530,30279,Jasser Mahmoud,04:13:05
530,531,30986,Quinn Williams,04:13:16
531,532,30669,Solomon Jeong,04:13:24
532,533,33674,Timothy Phillips,04:13:25
533,534,30276,Emily Cornell,04:13:28
534,535,31439,Sandra Therrien,04:13:38
535,536,30775,Kristin Nelson,04:13:46
536,537,30940,Chad Mckissick,04:13:52
537,538,31581,Josh Green,04:13:59
538,539,33648,Cami Holland,04:14:03
539,540,32570,Sophia Guzzo,04:14:05
540,541,31556,Brittany Morrow,04:14:07
541,542,30101,Emerson Smith,04:14:08
542,543,32006,Megan Wilkins,04:14:10
543,544,32097,Bailey Davidson,04:14:15
544,545,32012,Kaitlyn Jones,04:14:16
545,546,30725,Paul Bergman,04:14:23
546,547,30714,Adam Stadel,04:14:24
547,548,31597,Joao Pagan,04:14:27
548,549,33467,Brooke Groff,04:14:29
549,550,30215,Donald Stover,04:14:43
550,551,30572,Christine Altrock,04:14:52
551,551,31539,Mia Pecora,04:14:52
552,553,31490,Koriann Lance,04:14:54
553,554,31640,Kelsa Debrabant,04:14:56
554,554,30355,Donald Hilton,04:14:56
555,556,33513,Nick Bussell,04:15:17
556,557,31211,Nick Hagemeier,04:15:23
557,557,31212,Molly Hagemeier,04:15:23
558,557,31910,Michael Averill,04:15:23
559,560,33524,Stephen Reed,04:15:32
560,561,31150,Racheal Ballard,04:15:35
561,562,31857,Greg Kampman,04:15:37
562,563,30944,Heini Tallent,04:15:39
563,564,31410,Amy Rollins,04:15:55
564,565,30943,Travis Lanier,04:16:06
565,566,31478,Andre' Page,04:16:08
566,566,31753,Eric Yeats,04:16:08
567,568,30370,Benjamin Weber,04:16:10
568,569,30806,Mari Woodton,04:16:26
569,570,32186,Bethany Heaman,04:16:31
570,571,30400,Abbie Nelson,04:16:37
571,572,30592,Dusty Brown,04:16:43
572,573,31160,Anne Grumbine,04:16:46
573,574,30083,Cheko Waters,04:16:47
574,574,31144,Samuel Baker,04:16:47
575,576,31042,Christopher Wiggs,04:16:49
576,577,30295,Megan Sunderland,04:16:57
577,578,31816,Allie Townshend Peña,04:17:07
578,579,31565,Toby Jenkins,04:17:09
579,580,32249,Michelle Sackman,04:17:12
580,580,32201,Nathan Cross,04:17:12
